text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
گہرے خلا میں تحقیق کرنے والی چینی لیبارٹری جس نے رواں سال جون میں کام شروع کیا تھا، دنیا بھر سے اعلیٰ ہنر مندوں کو… https://t.co/3jMb8qg4ug,FALSE,0,NA,2022-12-05T16:45:00Z,TRUE,NA,1599807058311667728,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,1,FALSE,FALSE,NA,NA
مقامی حکام کے مطابق چین کے شمالی صوبے ہیبے کی لونگ یاؤ کاؤنٹی میں سال 1286 کا ایک پتھرکا کتبہ دریافت ہوا ہے جو یوآن… https://t.co/6iV3LLcawA,FALSE,7,NA,2022-12-05T16:18:00Z,TRUE,NA,1599800263644258305,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,1,FALSE,FALSE,NA,NA
انسان بردار خلائی جہاز شین ژو 14 کے 3 خلابازوں چھن ڈونگ ، لیو یانگ اور سائی شوژے کو واپس لانے والا کیپسول چین کے شم… https://t.co/AmJtLKkk1x,FALSE,0,NA,2022-12-05T15:52:00Z,TRUE,NA,1599793720219648001,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
نائجیریا کے دارالحکومت ابوجا  میں چین کی مدد سے مغربی افریقی ریاستوں کی اقتصادی برادری ( ای سی او ڈبلیو اے ایس) کے… https://t.co/LA5bqsunSA,FALSE,2,NA,2022-12-05T15:24:00Z,TRUE,NA,1599786673788882945,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
چینی امور کے ایک معروف امریکی ماہر نے کہا ہے کہ سابق چینی رہنما جیانگ زیمن نے چین کی اصلاحات اور کھلے پن میں کلیدی… https://t.co/2C4musMHGj,FALSE,2,NA,2022-12-05T14:55:00Z,TRUE,NA,1599779375611715584,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
"@XinhuaUrdu Report link, please.",FALSE,0,XinhuaUrdu,2022-12-05T14:49:18Z,FALSE,1599771574227312641,1599777942225096706,1260483335635247112,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Faheembilal,0,FALSE,FALSE,NA,NA
ایک تھنک ٹینک کی نئی رپورٹ میں کہا گیا ہے کہ  انسانی حقوق کے احترام اور تحفظ کے حوالے سے چین کے نئے خیالات، اقدامات… https://t.co/2KfSV15zpH,FALSE,5,NA,2022-12-05T14:24:00Z,TRUE,NA,1599771574227312641,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
جنوب مشرقی ایشیائی ملکوں کی تنظیم (آسیان) نے یو این ویمن  کے ساتھ مشترکہ  طور پر خواتین کے امن اور سلامتی سے متعلق… https://t.co/EyQFbAp9bK,FALSE,1,NA,2022-12-05T13:58:00Z,TRUE,NA,1599765031184277504,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
کولمبو میں مرسڈیز بینز فیشن ویک سری لنکا  منعقد ہوا جس میں سری لنکا اور جنوبی ایشیا کی فیشن اور ملبوسات صنعت کے شان… https://t.co/5oIrZGIFMf,FALSE,1,NA,2022-12-05T13:36:01Z,TRUE,NA,1599759499119951872,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
RT @XinhuaUrdu: چین میں معیار کے نگراں اعلیٰ ادارے نے کہا ہے کہ الیکٹرک کار ساز ٹیسلا چین میں 4 لاکھ 35 ہزار 132 گاڑیوں کو واپس منگوائے گا…,FALSE,0,NA,2022-12-05T13:18:22Z,FALSE,NA,1599755057766932480,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",periqlytos,2,TRUE,FALSE,NA,NA
چین میں معیار کے نگراں اعلیٰ ادارے نے کہا ہے کہ الیکٹرک کار ساز ٹیسلا چین میں 4 لاکھ 35 ہزار 132 گاڑیوں کو واپس منگ… https://t.co/L9m1eFGY0L,FALSE,7,NA,2022-12-05T12:03:29Z,TRUE,NA,1599736214071877633,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,2,FALSE,FALSE,NA,NA
مکانات، باڑیں اور تنگ راستے ، جنوبی گرم جزیرے ہائی نان کا ایک گاؤں لاوا چٹانوں سے بنے اپنے سیاحتی مراکز پر فخر کرتا… https://t.co/loqCDN3vcu,FALSE,0,NA,2022-12-05T11:16:45Z,TRUE,NA,1599724451960348673,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
ملائیشیا کے وزیر اعظم انور ابراہیم نے اپنی کابینہ کا اعلان کردیا ہے جس میں ملک کے دونوں حصوں کی بہتر نمائندگی کرنے… https://t.co/6nrnuwU6xj,FALSE,1,NA,2022-12-05T09:26:52Z,TRUE,NA,1599696800750850049,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",XinhuaUrdu,0,FALSE,FALSE,NA,NA
